epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.6434,0.85015,0.63511,0.92617,0.98186,0.97604,0.995,0.81696,0.82339,0.43654,0.92926,0.000424187,0.000424187,0.000424187
43,78.898,0.89685,0.68056,0.97881,0.95761,0.97182,0.995,0.8173,0.83468,0.44701,0.92801,0.000417119,0.000417119,0.000417119
44,80.1062,0.85251,0.60577,0.9555,0.95951,0.96273,0.995,0.80667,0.86451,0.45786,0.93642,0.00041005,0.00041005,0.00041005
45,81.2274,0.81704,0.61509,0.93501,0.95951,0.96273,0.995,0.80667,0.86451,0.45786,0.93642,0.000402982,0.000402982,0.000402982
46,83.7681,0.81227,0.57085,0.94951,0.96361,0.97921,0.995,0.8096,0.84378,0.43272,0.93232,0.000395913,0.000395913,0.000395913
47,84.9387,0.83382,0.56258,0.92054,0.97241,0.97944,0.995,0.814,0.81297,0.42107,0.92286,0.000388844,0.000388844,0.000388844
48,86.2975,0.8091,0.55397,0.94298,0.96958,0.98579,0.995,0.80624,0.80557,0.41581,0.9158,0.000381776,0.000381776,0.000381776
49,87.8525,0.83629,0.65596,0.92168,0.96958,0.98579,0.995,0.80624,0.80557,0.41581,0.9158,0.000374707,0.000374707,0.000374707
50,89.2395,0.77192,0.55961,0.94196,0.97683,0.98441,0.995,0.81609,0.79472,0.41167,0.91232,0.000367639,0.000367639,0.000367639
51,90.4624,0.84267,0.57361,0.95091,0.95423,0.98784,0.995,0.8216,0.80506,0.41026,0.91434,0.00036057,0.00036057,0.00036057
52,91.7685,0.7734,0.54726,0.93393,0.96559,0.96391,0.995,0.81963,0.8246,0.41842,0.92644,0.000353501,0.000353501,0.000353501
53,92.9332,0.83725,0.59107,0.94658,0.96559,0.96391,0.995,0.81963,0.8246,0.41842,0.92644,0.000346433,0.000346433,0.000346433
54,94.1202,0.81131,0.54853,0.93472,0.96792,0.95985,0.995,0.80491,0.83589,0.42545,0.93915,0.000339364,0.000339364,0.000339364
55,95.2961,0.80564,0.51271,0.93883,0.96757,0.96845,0.995,0.82438,0.82969,0.40701,0.93869,0.000332296,0.000332296,0.000332296
56,96.5644,0.82026,0.51119,0.94014,0.9673,0.96518,0.995,0.8274,0.8282,0.3903,0.93218,0.000325227,0.000325227,0.000325227
57,97.786,0.81761,0.52586,0.92387,0.9673,0.96518,0.995,0.8274,0.8282,0.3903,0.93218,0.000318158,0.000318158,0.000318158
58,99.3242,0.8274,0.57069,0.96705,0.97425,0.9602,0.995,0.82117,0.82339,0.38387,0.92758,0.00031109,0.00031109,0.00031109
59,101.016,0.78258,0.51387,0.93885,0.95171,0.98185,0.995,0.81622,0.82108,0.39639,0.92537,0.000304021,0.000304021,0.000304021
60,102.186,0.78384,0.55305,0.93442,0.96345,0.97757,0.995,0.81175,0.83553,0.39979,0.93365,0.000296953,0.000296953,0.000296953
61,103.311,0.78888,0.51322,0.94043,0.96345,0.97757,0.995,0.81175,0.83553,0.39979,0.93365,0.000289884,0.000289884,0.000289884
62,104.479,0.81042,0.52389,0.9489,0.9687,0.97878,0.995,0.8149,0.83788,0.3928,0.93598,0.000282815,0.000282815,0.000282815
63,105.729,0.82453,0.51333,0.94339,0.9701,0.97914,0.995,0.81728,0.81388,0.36825,0.92489,0.000275747,0.000275747,0.000275747
64,106.961,0.75512,0.48434,0.9209,0.96979,0.98206,0.995,0.82177,0.80354,0.37694,0.92003,0.000268678,0.000268678,0.000268678
